file	layer	source	sketch id
shootTheSun	shootTheSun	WoCG-2.2.sketch, page "Assets 2.0"	7AC15DDA-44E9-43D7-99C7-F240E0EEDF8C
shootTheMoon	shootTheMoon	WoCG-2.2.sketch, page "Assets 2.0"	7098CE92-CFC4-40CC-9DC5-A0009EE98BC4
gameOverHeader	gameOverHeader	WoCG-2.2.sketch, page "Assets 2.0"	25CED0A7-CB86-47F0-BEED-CD1F3C50C0E4
slam	slam	WoCG-2.2.sketch, page "Assets 2.0"	31786194-2F49-4044-A42A-FE8F30759E6C
handOverHeader	handOverHeader	WoCG-2.2.sketch, page "Assets 2.0"	8E4705A3-AEAB-42FC-93EE-CF42638141FD
4	4	WoCG-2.2.sketch, page "Assets 2.0"	D45EC308-F05E-4985-B3B6-7E5299234DF4
3	3	WoCG-2.2.sketch, page "Assets 2.0"	4C094888-E5F7-4B56-AEEF-D0E3B5A38386
2	2	WoCG-2.2.sketch, page "Assets 2.0"	BBFD9BBD-D28B-4C3E-BC4B-55930148C497
1	1	WoCG-2.2.sketch, page "Assets 2.0"	B3FEB545-805F-4F22-903C-C256AEE278C9
sortArrowLeft	sortArrowLeft	WoCG-2.2.sketch, page "Assets 2.0"	FCE9531C-DF3D-4661-A4CF-16A5C1CBFBAB
playerMore	playerMore	WoCG-2.2.sketch, page "Assets 2.0"	AA45E225-DF7D-4B04-971C-6D89DCD05CE9
sortArrowRight	sortArrowRight	WoCG-2.2.sketch, page "Assets 2.0"	9A14257B-807B-4929-BAEA-3DF1D3B84A32
hintArrowRight	hintArrowRight	WoCG-2.2.sketch, page "Assets 2.0"	DB2897C0-1399-4BB1-B5B7-0646AEC3D6FB
hintArrowLeft	hintArrowLeft	WoCG-2.2.sketch, page "Assets 2.0"	4615743B-F6D5-444B-95A9-636E963A9D1D
hintArrowLeft~2	hintArrowLeft	WoCG-2.2.sketch, page "Assets 2.0"	BF80EBCD-CF0E-4B12-9C28-71C7E786763E
hintArrowUp	hintArrowUp	WoCG-2.2.sketch, page "Assets 2.0"	6D08C7CE-D46A-42E2-8BE7-33C8F41F4068
hintArrowDown	hintArrowDown	WoCG-2.2.sketch, page "Assets 2.0"	857B6186-BF67-46E4-9C03-4EC9807D69F8
friendsSearch	friendsSearch	WoCG-2.2.sketch, page "Assets 2.0"	68DF7147-7CA6-476C-91C9-284F944B38B9
friendsClose	friendsClose	WoCG-2.2.sketch, page "Assets 2.0"	B8B5376C-4DC6-416C-95E7-906CE7098A43
friendsListChat	friendsListChat	WoCG-2.2.sketch, page "Assets 2.0"	FBCBD5F8-3E55-4F2C-8F3B-5DFB885BE745
menuClose	menuClose	WoCG-2.2.sketch, page "Assets 2.0"	06AC1D0E-8E15-4119-B921-248D7C2E1AA4
menuBurger	menuBurger	WoCG-2.2.sketch, page "Assets 2.0"	1A5D5EA1-BA07-41A9-BC17-BC6956CCD6E9
menuActivity	menuActivity	WoCG-2.2.sketch, page "Assets 2.0"	348D83A3-8625-4756-9B4D-2BD33ABB7C48
menuActivityHover	menuActivityHover	WoCG-2.2.sketch, page "Assets 2.0"	D2A150A7-B971-43A4-A491-52778F0422F7
menuActivityNotification	menuActivityNotification	WoCG-2.2.sketch, page "Assets 2.0"	49A13CCF-CC32-41A1-A912-AB876347BC8B
menuActivityNotificationHover	menuActivityNotificationHover	WoCG-2.2.sketch, page "Assets 2.0"	38D1AC1A-0333-4452-BCF9-552BF07AF3EE
menuFriendsNotification	menuFriendsNotification	WoCG-2.2.sketch, page "Assets 2.0"	887B1B32-728E-4AD9-B744-C014E6FF6B4D
menuFriendsNotificationHover	menuFriendsNotificationHover	WoCG-2.2.sketch, page "Assets 2.0"	44A7D460-A04E-4066-AFA6-593E3E1D1056
playerLeaving	playerLeaving	WoCG-2.2.sketch, page "Assets 2.0"	421F785A-0D0D-4A44-8440-99621E2FB8E3
playerLiked	playerLiked	WoCG-2.2.sketch, page "Assets 2.0"	8586A362-B86C-41C0-AABA-B00D0F4BA7D7
crown	crown	WoCG-2.2.sketch, page "Assets 2.0"	DB0E6580-0C00-45E4-86D9-6A4E43B5D21F
countChip	countChip	WoCG-2.2.sketch, page "Assets 2.0"	0909A83B-6259-48C3-A8AB-586FF3CC842D
dealer	dealer	WoCG-2.2.sketch, page "Assets 2.0"	31065EDC-DEDA-4D98-8119-07F38B54D72C
dealerSmall	dealerSmall	WoCG-2.2.sketch, page "Assets 2.0"	F503B423-DBAE-4C21-AFD2-9B130DCA776E
frameBLLL	frameBLLL	WoCG-2.2.sketch, page "Assets 2.0"	17B15DDB-F231-4578-AAAE-B20FD286FF9D
frameTL	frameTL	WoCG-2.2.sketch, page "Assets 2.0"	502F6FFC-2FB6-466B-9EFB-DF006F2EC980
frameTR	frameTR	WoCG-2.2.sketch, page "Assets 2.0"	336E8773-D906-4849-9925-3F51340F68A7
frameBR	frameBR	WoCG-2.2.sketch, page "Assets 2.0"	50D6AD00-561F-4E32-AEE9-DD94BE4E4C38
frameBLL	frameBLL	WoCG-2.2.sketch, page "Assets 2.0"	B3A9F444-55BE-48D2-AE1C-FE23A53CE77A
frameBL	frameBL	WoCG-2.2.sketch, page "Assets 2.0"	281EEFB3-7D5F-421F-AC77-B26C28B7A657
arrowDown	arrowDown	WoCG-2.2.sketch, page "Assets 2.0"	2F9EDC2E-A6EF-4F4E-8D5B-82E92B9C8D0F
suitDiamond	suitDiamond	WoCG-2.2.sketch, page "Assets 2.0"	4CF80BE0-4FEC-48CE-B73E-B4D8418B0590
suitHeart	suitHeart	WoCG-2.2.sketch, page "Assets 2.0"	56CA61A8-169F-4CFB-8932-F339626E4437
suitClub	suitClub	WoCG-2.2.sketch, page "Assets 2.0"	3E7239A9-BF14-4400-B0F0-791B8E2490BA
suitSpade	suitSpade	WoCG-2.2.sketch, page "Assets 2.0"	B9F66CF1-ADA4-4667-901A-EF99C301489D
playMenuHover	playMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	A8C56C47-FF48-4EC8-A1BC-893F00DD2052
playMenu	playMenu	WoCG-2.2.sketch, page "Assets 2.0"	2DC359DA-03B6-4E34-8287-2AE0B411C089
profileMenuHover	profileMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	207CD579-A5D8-47F2-A198-0B90E7EA4E02
profileMenu	profileMenu	WoCG-2.2.sketch, page "Assets 2.0"	D16C69AB-08A9-4EC3-A277-69A0E4AB7603
helpMenuHover	helpMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	4FDCC318-5078-4BA7-89CD-CB31DA240BBD
helpMenu	helpMenu	WoCG-2.2.sketch, page "Assets 2.0"	7326F4AC-84C2-4FF5-8B46-3DA575C0A325
ranksMenuHover	ranksMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	D1E80BC1-049A-4037-B0AD-2C85DB7B630F
rulesMenuHover	rulesMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	B0673A7E-4039-4F91-A093-F31C657D0CF5
rulesMenu	rulesMenu	WoCG-2.2.sketch, page "Assets 2.0"	057398A4-650E-4B63-9311-914D3630F8FB
ranksMenu	ranksMenu	WoCG-2.2.sketch, page "Assets 2.0"	F2591A68-4274-419D-9295-38F1BF25ADC9
hintMenuHover	hintMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	4E4898D2-6851-4509-8E65-A577C03FACA5
hintMenu	hintMenu	WoCG-2.2.sketch, page "Assets 2.0"	7EE312E9-3123-4133-98DC-DBB006B14E81
chatMenuHover	chatMenuHover	WoCG-2.2.sketch, page "Assets 2.0"	C4952A8B-549C-4140-AD29-ACF816F819EC
chatMenuActive	chatMenuActive	WoCG-2.2.sketch, page "Assets 2.0"	2C5C4A08-8177-4EB8-86CB-EC261A4D45ED
chatMenu	chatMenu	WoCG-2.2.sketch, page "Assets 2.0"	B22AA780-D4C5-4FB3-AF90-10171FECCEA6
